type,title,author,availability,birthDate.confidence,birthDate.value.precision,birthDate.value.str,birthDate.value.timestamp,brand,crawlTimestamp,date,description.confidence,description.value,descriptionHtml.confidence,descriptionHtml.value,diffbotUri,estimatedDate,height,humanLanguage,icon,id,importance,multipleProducts,name.confidence,name.value,naturalHeight,naturalWidth,nbIncomingEdges,nbOrigins,offerPrice,offerPriceDetails.amount,offerPriceDetails.symbol,offerPriceDetails.text,origin,originalType,pageUrl,primary,publisherCountry,publisherRegion,regularPrice,regularPriceDetails.amount,regularPriceDetails.symbol,regularPriceDetails.text,siteName,text,url,width,xpath
"image","Mit Ratatouille gefüllte Tomaten, Zucchini und Auberginen",,,,,,,,,,,,,,"image|3|-55671493",,"427",,,,,,,,"442","590",,,,,,,,,,,,,,,,,,,"https://images.lecker.de/mit-ratatouille-gefuellte-tomaten-zucchini-und-auberginen-F4884303,id=3dd9638f,b=lecker,w=590,h=442,cg=c.jpg","570",
"image","Schmetterling-Deko für Gläser selber machen","Schmetterling-Deko",,,,,,,,,,,,,"image|3|-1143817500",,"217",,,,,,,,"225","300",,,,,,,,"other",,,,,,,,,,,"https://www.lecker.de/assets/styles/300x225/public/lecker/dekoundgastlichkeit/schmetterlingdeko/schmetterling-deko-q.jpg?itok=i7kzA_P_","290",
"product","LECKER Brettchen - Stullenparkplatz",,"1",,,,,"Lecker",,,,,,,"product|3|231365307",,,"de",,,,"1",,,,,,,"5,25€","5.25","€","5,25€",,,"https://laden.lecker.de/schnaeppchen/lecker-brettchen-stullenparkplatz.html",,,,"7,50€","7.5","€","7,50€",,"• Lecker Brettchen mit Aufdruck
• ""Stullenparkplatz""
• Maße: ca. 23 x 14 cm",,,
"image","Pho Suppe - das Rezept für die vietnamesische Nudelsuppe","Pho Suppe",,,,,,,,,,,,,"image|3|36566332",,"214",,,,,,,,"225","300",,,,,,,,,,,,,,,,,,,"https://www.lecker.de/assets/styles/300x225/public/field/image/pho-suppe-b.jpg?itok=zpgSWejE","285",
"image","Weihnachten vegetarisch - die schönsten Rezepte",,,,,,,,,,,,,,"image|3|171703866",,"442",,,,,,,,"457","610",,,,,,,,"other",,,,,,,,,,,"https://www.lecker.de/assets/styles/610x457/public/field/image/weihnachten-vegetarisch-b11.jpg?itok=XTlZsi3Z","590",
"image","Austern ausbrechen",,,,,,,,,,,,,,"image|3|-342473501",,"217",,,,,,,,"225","300",,,,,,,,"other",,,,,,,,,,,"https://www.lecker.de/assets/styles/300x225/public/lecker/kochschule/handgriffe_1/austern_ausbrechen/andere_56/austern-ausbrechen-q2.jpg?itok=Q3vyoDa9","290",
"image","Kartoffelsuppe mit Räucherlachs, Meerrettichsahne und Dill Rezept",,,,,,,,,,,,,,"image|3|369335505",,"427",,,,,,,,"442","590",,,,,,,,,,,,,,,,,,,"https://images.lecker.de/kartoffelsuppe-mit-raeucherlachs-meerrettichsahne-und-dill-F3773401,id=90092df6,b=lecker,w=590,h=442,cg=c.jpg","570",
"image","Aufbewahrungsbox - Creme",,,,,,,,,,,,,,"image|3|-1264247013",,"401",,,,,,,,"1179","1800",,,,,,,,,,"1",,,,,,,,,"https://pvn.zoomoviewer.com/images/H103242808_0/1800/1800/Aufbewahrungsbox_-_Creme.jpg","613","/html[1]/body[1]/div[2]/div[1]/div[4]/div[1]/div[2]/div[2]/div[1]/form[1]/div[2]/div[2]/div[1]/img[1]"
"image","Spaghetti vongole - so geht's Schritt für Schritt",,,,,,,,,,,,,,"image|3|1967856710",,"217",,,,,,,,"225","300",,,,,,,,"other",,,,,,,,,,,"https://www.lecker.de/assets/styles/300x225/public/lecker/kochschule/rezeptklassiker/hbv_25/spaghettivongole/spaghetti-vongole-q2.jpg?itok=r-f52w0E","290",
"article","1. Widerrufsrecht",,,,,,,,,,,,,,"article|3|655405193",,,"de","https://laden.lecker.de/skin/frontend/rwd/leckerladen/images/apple-touch-icon.png",,,,,,,,,,,,,,,"other","https://laden.lecker.de/widerrufsbelehrung/",,"Germany","Germany",,,,,"lecker.de","Das Widerrufsrecht gilt für Verbraucher. Verbraucher ist jede natürliche Person, die ein Rechtsgeschäft zu Zwecken abschließt, die überwiegend weder Ihrer gewerblichen noch ihrer selbstständigen beruflichen Tätigkeit zugerechnet werden können.
Dem Verbraucher steht im gesetzlichen Umfang ein Widerrufsrecht zu. Davon ausgenommen sind gemäß § 312g Abs. 2 BGB folgende Produkte:
Waren, die aufgrund ihrer Beschaffenheit nicht für eine Rücksendung geeignet sind,
Waren, die nach Kundenspezifikation angefertigt werden,
versiegelte Software, CDs, DVDs oder Videofilme, wenn diese vom Kunden entsiegelt wurden,
Zeitungen, Zeitschriften oder Illustrierte (ausgenommen sind Abonnement-Verträge).
2. Widerrufsbelehrung
Sie haben das Recht, binnen vierzehn Tagen ohne Angabe von Gründen diesen Vertrag zu widerrufen. Die Widerrufsfrist beträgt vierzehn Tage ab dem Tag, an dem Sie oder ein von Ihnen benannter Dritter, der nicht der Beförderer ist, die Waren in Besitz genommen hat. Die Widerrufsfrist beträgt bei digitalen Inhalten vierzehn Tage ab dem Tag des Vertragsabschlusses. Um Ihr Widerrufsrecht auszuüben, müssen Sie uns
Pressevertrieb Nord KG
Schnackenburgallee 11
22525 Hamburg
Telefaxnummer: 040 / 85 369-111
E-Mail-Adresse: widerruf@pvn.de
mittels einer eindeutigen Erklärung (z.B. ein mit der Post versandter Brief, Telefax oder E-Mail) über Ihren Entschluss, diesen Vertrag zu widerrufen, informieren. Sie können dafür das beigefügte Muster-Widerrufsformular verwenden, das jedoch nicht vorgeschrieben ist. Zur Wahrung der Widerrufsfrist reicht es aus, dass Sie die Mitteilung über die Ausübung des Widerrufsrechts vor Ablauf der Widerrufsfrist absenden.
Folgen des Widerrufs
Wenn Sie diesen Vertrag widerrufen, haben wir Ihnen alle Zahlungen, die wir von Ihnen erhalten haben, einschließlich der Lieferkosten (mit Ausnahme der zusätzlichen Kosten, die sich daraus ergeben, dass Sie eine andere Art der Lieferung als die von uns angebotene, günstige Standardlieferung gewählt haben), unverzüglich und spätestens binnen vierzehn Tagen ab dem Tag zurückzuzahlen, an dem die Mitteilung über Ihren Widerruf dieses Vertrags bei uns eingegangen ist. Für diese Rückzahlung verwenden wir dasselbe Zahlungsmittel, das Sie bei der ursprünglichen Transaktion eingesetzt haben, es sei denn, mit Ihnen wurde ausdrücklich etwas anderes vereinbart; in keinem Fall werden Ihnen wegen dieser Rückzahlung Entgelte berechnet. Wir können die Rückzahlung verweigern, bis wir die Waren wieder zurückerhalten haben oder bis Sie den Nachweis erbracht haben, dass Sie die Waren zurückgesandt haben, je nachdem, welches der frühere Zeitpunkt ist. Sie haben die Waren unverzüglich und in jedem Fall spätestens binnen vierzehn Tagen ab dem Tag, an dem Sie uns über den Widerruf dieses Vertrages unterrichten, an uns zurückzusenden oder zu übergeben. Die Frist ist gewahrt, wenn Sie die Waren vor Ablauf der Frist von vierzehn Tagen absenden.
Sie tragen die unmittelbaren Kosten der Rücksendung der Waren. Sie müssen für einen etwaigen Wertverlust der Waren nur aufkommen, wenn dieser Wertverlust auf einen zur Prüfung der Beschaffenheit, Eigenschaften und Funktionsweise der Waren nicht notwendigen Umgang mit ihnen zurückzuführen ist.
Widerrufsformular
Wenn Sie den Vertrag widerrufen wollen, dann füllen Sie bitte dieses Formular aus und senden Sie es zurück an
Pressevertrieb Nord KG,
Schnackenburgallee 11,
22525 Hamburg
(E-Mail: widerruf@pvn.de).
Hiermit widerrufe(n) ich/wir (*) den von mir/uns (*) abgeschlossenen Vertrag über den Kauf der
Bestellt am (*)/erhalten am (*):
Name des/der Verbraucher(s):
Anschrift des/der Verbraucher(s):
Unterschrift des/der Verbraucher(s) (nur bei Mitteilung auf Papier):Datum:
* nicht Zutreffendes bitte streichen
- Ende der Widerrufsbelehrung -",,,
"image","Wasserflasche - Kreuze",,,,,,,,,,,,,,"image|3|190005001",,"600",,,,,,,,"1800","1800",,,,,,,,,,"1",,,,,,,,,"https://pvn.zoomoviewer.com/images/H103241009_0/1800/1800/Wasserflasche_-_Kreuze.jpg","600","/html[1]/body[1]/div[2]/div[1]/div[4]/div[1]/div[2]/div[2]/div[1]/form[1]/div[2]/div[2]/div[1]/img[1]"
"image","Gemischter Salat mit Rucoladressing Rezept",,,,,,,,,,,,,,"image|3|1559873467",,"427",,,,,,,,"442","590",,,,,,,,,,,,,,,,,,,"https://images.lecker.de/gemischter-salat-mit-rucoladressing-5544656_3342589,id=94d493dc,b=lecker,w=590,h=442,cg=c.jpg","570",
"image","Jetzt können die Berliner gefüllt werden, Foto: House of Food / Bauer Food Experts KG",,,,,,,,,,,,,,"image|3|-729213277",,"427",,,,,,,,"422","563",,,,,,,,,,,,,,,,,,,"https://www.lecker.de/assets/styles/563x422/public/berliner_fuellen.jpg?itok=fXn_VFMt","570",
"image","Bayrischer Biergarten-Kartoffelsalat Rezept",,,,,,,,,,,,,,"image|3|607340179",,"427",,,,,,,,"442","590",,,,,,,,,,,,,,,,,,,"https://images.lecker.de/bayrischer-biergarten-kartoffelsalat-F3770701,id=1beaef07,b=lecker,w=590,h=442,cg=c.jpg","570",
"product","LECKER Jutebeutel - Miss Piggy",,"1",,,,,"Lecker",,,,,,,"product|3|963165603",,,"de",,,,"1",,,,,,,"3,95€","3.95","€","3,95€",,,"https://laden.lecker.de/schnaeppchen/lecker-jutebeutel-miss-piggy.html",,,,"8,95€","8.95","€","8,95€",,"• Lecker Jutebeutel ""Miss Piggy""
• ""Iss' nie mehr als du tragen kannst""
• Das beste Miss-Piggy-Zitat ever",,,
"image","Fernköstliche Kokossuppe Rezept",,,,,,,,,,,,,,"image|3|1483619507",,"427",,,,,,,,"442","590",,,,,,,,,,,,,,,,,,,"https://images.lecker.de/fernkoestliche-kokossuppe-F7472307,id=bcb1c981,b=lecker,w=590,h=442,cg=c.jpg","570",
"product","Schneidebrett - Weiß",,"1",,,,,"Schneidebrett",,,,,,,"product|3|1179138888",,,"de",,,,"1",,,,,,,"28,95€","28.95","€","28,95€",,,"https://laden.lecker.de/schnaeppchen/schneidebrett-marble-white-38cm.html",,,,"32,95€","32.95","€","32,95€",,"• Brett aus Marmor
• Maße: 38cm Länge, 20cm Breite
• Hersteller: Bahne & Co.
• Ideal zum Servieren oder Verschenken
• Einzigartige Maserung",,,
"product","LECKER Poster 3er Set",,"1",,,,,"Lecker",,,,,,,"product|3|-962571946",,,"de",,,,"1",,,,,,,"14,95€","14.95","€","14,95€",,,"https://laden.lecker.de/schnaeppchen/lecker-poster-3er-set.html",,,,"19,95€","19.95","€","19,95€",,"• Lecker Poster 3er Set
• Enthält die Poster ""Friend"", ""Sweetheart"" und ""viel von Allem"".",,,
"image","Bloody-Mary-Suppe Rezept","Bloody-Mary-Suppe Zum Rezept",,,,,,,,,,,,,"image|3|-708058339",,"427",,,,,,,,"442","590",,,,,,,,,,,,,,,,,,,"https://images.lecker.de/bloody-mary-suppe-F5458704,id=1b43d859,b=lecker,w=590,h=442,cg=c.jpg","570",
"Person",,,,,,,,,"1488326400",,"0.69","Unsere Gewinner wurden ausgelost und per E-Mail benachrichtigt. Unten stehend ist eine Liste mit den neuesten Gewinnern. Wenn dein Name noch nicht dabei ist, nimm weiterhin an unseren Gewinnspielen teil.","0.69","Unsere Gewinner wurden ausgelost und per E-Mail benachrichtigt. Unten stehend ist eine Liste mit den neuesten Gewinnern. Wenn dein Name noch nicht dabei ist, nimm weiterhin an unseren Gewinnspielen teil.","http://diffbot.com/entity/noId577",,,,,"noId577","0",,,,,,"0","1",,,,,"gewinnspiel.lecker.de/winners/p/30",,,,,,,,,,,,,,
"image","Schalensatz - 3 mini Mynte Green Tea",,,,,,,,,,,,,,"image|3|-66124378",,"532",,,,,,,,"1120","1290",,,,,,,,,,"1",,,,,,,,,"https://pvn.zoomoviewer.com/images/H103242822_0/1800/1800/Schalensatz_-_3_mini_Mynte_Green_Tea.jpg","613","/html[1]/body[1]/div[2]/div[1]/div[4]/div[1]/div[2]/div[2]/div[1]/form[1]/div[2]/div[2]/div[1]/img[1]"
